Name	Accession	Tax	Host	Comment	NCBI	mash
9515-10a	NC_016657	Podoviridae	Pro		1	1
ACG-2014b	NC_027130	Myoviridae	Syn		1	1
ACG-2014c_C97	KJ019063	Myoviridae	Syn		1	1
ACG-2014d	NC_026923	Myoviridae	Syn		1	1
ACG-2014e	NC_026928	Myoviridae	Syn		1	1
ACG-2014f	NC_026927	Myoviridae	Syn		1	1
ACG-2014g	NC_026924	Myoviridae	Syn		1	1
ACG-2014i	NC_027132	Myoviridae	Syn		1	1
IUI_154509	IUI_154509	?	?		0	1
KBS-S-2A	NC_020854	Siphoviridae	Syn	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
MED4-117	NC_020857	Myoviridae	Pro	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
MED4-213	NC_020845	Myoviridae	Pro		1	1
metaG-MbCM1	NC_019443	Myoviridae	Syn		1	1
NATL1A-7	NC_016658	Podoviridae	Pro		1	1
NATL2A-133	NC_016659	Podoviridae	Pro		1	1
P-GSP1	NC_020878	Podoviridae	Pro	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
P-HM1	NC_015280	Myoviridae	Pro		1	1
P-HM2	NC_015284	Myoviridae	Pro		1	1
P-RSM1	NC_021071	Myoviridae	Pro		1	1
P-RSM3	HQ634176	Myoviridae	Pro		1	1
P-RSM4	NC_015283	Myoviridae	Pro		1	1
P-RSM6	NC_020855	Myoviridae	Pro		1	1
P-RSP2	HQ332139	Podoviridae	Pro	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
P-SS2	NC_013021	Siphoviridae	Pro		1	1
P-SSM5	HQ632825	Myoviridae	Pro		1	1
P-SSM7	NC_015290	Myoviridae	Pro		1	1
P-SSP10	NC_020835	Podoviridae	Pro		1	1
P-SSP2	NC_016656	Podoviridae	Pro		1	1
P-SSP3	NC_020874	Podoviridae	Pro		1	1
P-SSP7	NC_006882	Podoviridae	Pro		1	1
P-TIM68	KM359505	Myoviridae	Pro		1	1
P60	NC_003390	Podoviridae	Syn		1	1
S-CAM1_0208SB26	HQ634177	Myoviridae	Syn		1	1
S-CAM22	NC_031903	Myoviridae	Syn		1	1
S-CAM3	NC_031906	Myoviridae	Syn		1	1
S-CAM4	NC_031900	Myoviridae	Syn		1	1
S-CAM7	NC_031927	Myoviridae	Syn		1	1
S-CAM8_0608BI06	HQ634178	Myoviridae	Syn		1	1
S-CAM9	NC_031922	Myoviridae	Syn		1	1
S-CBM2	HQ633061	Myoviridae	Syn		1	1
S-CBP1	NC_025456	Podoviridae	Syn		1	1
S-CBP2	NC_025455	Podoviridae	Syn		1	1
S-CBP3	NC_025461	Podoviridae	Syn		1	1
S-CBP4	NC_025464	Podoviridae	Syn		1	1
S-CBP42	NC_029031	Podoviridae	Syn		1	1
S-CBS1	NC_016164	Siphoviridae	Syn		1	1
S-CBS2	NC_015463	Siphoviridae	Syn		1	1
S-CBS3	NC_015465	Siphoviridae	Syn		1	1
S-CBS4	HQ634148	Siphoviridae	Syn		1	1
S-CRM01	NC_015569	Myoviridae	Syn		1	1
S-EIVl	KJ410740	?	Syn		1	1
S-IOM18	HQ317383	Myoviridae	Syn		1	1
S-MbCM100	NC_023584	Myoviridae	Syn		1	1
S-MbCM7	NC_023587	Myoviridae	Syn		1	1
S-PM2	NC_006820	Myoviridae	Syn		1	1
S-RIM32_RW-108-0702	KU594606	Myoviridae	Syn		1	1
S-RIM44_W2-07-0710	KU594607	Myoviridae	Syn		1	1
S-RIM50_RW-29-0704	KU594605	Myoviridae	Syn		1	1
S-RIM8_A.HR1	JF974288	Myoviridae	Syn		1	1
S-RIP1	HQ317388	Podoviridae	Syn		1	1
S-RIP2	HQ317389	Podoviridae	Syn		1	1
S-RSM4	NC_013085	Myoviridae	Syn		1	1
S-ShM2	NC_015281	Myoviridae	Syn		1	1
S-SKS1	HQ633071	Siphoviridae	Syn		1	1
S-SM1	NC_015282	Myoviridae	Syn		1	1
S-SM2	NC_015279	Myoviridae	Syn		1	1
S-SSM2	JF974292	Myoviridae	Syn		1	1
S-SSM4	NC_020875	Myoviridae	Syn		1	1
S-SSM5	NC_015289	Myoviridae	Syn		1	1
S-SSM7	NC_015287	Myoviridae	Syn		1	1
S-WAM1_0810PA09	KU686210	Myoviridae	Syn		1	1
S-WAM2_0810PA29	KU686211	Myoviridae	Syn		1	1
SS120-1	NC_020872	Podoviridae	Syn	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
Syn1	GU071105	Myoviridae	Pro		1	1
Syn10	HQ634191	Myoviridae	Syn		1	1
Syn19	NC_015286	Myoviridae	Syn		1	1
Syn2	HQ634190	Myoviridae	Syn		1	1
Syn30	NC_021072	Myoviridae	Syn	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
Syn33	NC_015285	Myoviridae	Syn	Tax from: Puxty 2015; 10.1007/s11120-014-0057-x	1	1
Syn5	NC_009531	Podoviridae	Syn		1	1
Syn9	NC_008296	Myoviridae	Syn		1	1
TARA_034_39	TARA_034_39	?	?		0	1
TARA_064_5	TARA_064_5	?	?		0	1
TARA_076_270	TARA_076_270	?	?		0	1
S-TIM5	NC_019516	Myoviridae	Syn		1	1
P-TIM40	NC_028663	Myoviridae	Pro		1	1
